date,us,world,uk
2020/03/01,1,58,0
2020/03/02,1,67,0
2020/03/03,4,72,0
2020/03/04,3,84,0
2020/03/05,2,80,0
2020/03/06,1,102,0
2020/03/07,2,104,1
2020/03/08,3,97,1
2020/03/09,4,228,0
2020/03/10,5,208,1
2020/03/11,2,273,4
2020/03/12,2,333,0
2020/03/13,10,350,2
2020/03/14,7,443,1
2020/03/15,10,367,19
2020/03/16,12,751,14
2020/03/17,16,606,22
2020/03/18,23,811,17
2020/03/19,42,963,34
2020/03/20,0,1075,46
2020/03/21,110,1387,32
2020/03/22,80,1716,58
2020/03/23,131,1691,36
2020/03/24,119,1854,76
2020/03/25,211,2315,148
2020/03/26,249,2645,191
2020/03/27,246,2814,181
2020/03/28,411,3492,288
2020/03/29,484,3590,292
2020/03/30,318,3231,212
2020/03/31,661,3993,374
2020/04/01,909,4677,403
2020/04/02,1059,5015,672
2020/04/03,915,5026,657
2020/04/04,1104,6786,736
2020/04/05,1344,6298,756
2020/04/06,1146,4771,599
2020/04/07,1342,5345,567
2020/04/08,1906,7576,1105
2020/04/09,1922,6570,1030
2020/04/10,1873,7424,1116
2020/04/11,2087,7016,1122
2020/04/12,1831,6064,843
2020/04/13,1500,5335,657
2020/04/14,1541,5390,724
2020/04/15,2408,7619,1076
2020/04/16,4928,10491,880
2020/04/17,2299,8527,1036
2020/04/18,3770,8463,913
2020/04/19,1856,6373,1105
2020/04/20,1772,4988,432
2020/04/21,1857,5450,570
2020/04/22,2524,7243,1224
2020/04/23,1721,5935,847
2020/04/24,3179,7335,682
2020/04/25,1054,5359,1010
2020/04/26,2172,6160,815
2020/04/27,1687,3913,364
2020/04/28,1369,4899,320
2020/04/29,2110,6566,969
2020/04/30,2611,6562,769
2020/05/01,2040,5650,634
2020/05/02,2062,5577,698
2020/05/03,1317,4808,584
2020/05/04,1297,3706,253
2020/05/05,1252,3986,272
2020/05/06,2144,5957,726
2020/05/07,2353,6124,647
2020/05/08,2239,5642,458
2020/05/09,1510,5112,579
2020/05/10,1614,4407,275
2020/05/11,734,3426,217
2020/05/12,1156,3590,187
2020/05/13,1703,5757,614
2020/05/14,1746,5018,447
2020/05/15,1773,5256,352
2020/05/16,1662,5060,350
2020/05/17,1186,4225,411
2020/05/18,808,2898,67
2020/05/19,791,3298,146
2020/05/20,1568,5185,500
2020/05/21,1518,4718,328
2020/05/22,1263,5391,273
2020/05/23,1305,4646,291
2020/05/24,1080,3916,220
2020/05/25,633,1107,379
2020/05/26,500,3368,104
2020/05/27,696,3871,131
2020/05/28,1526,5142,422
2020/05/29,1175,4642,343
2020/05/30,1219,4654,274
2020/05/31,945,4012,154
2020/06/01,602,2914,60
2020/06/02,764,3145,86
2020/06/03,1034,4545,249
2020/06/04,994,5516,254
2020/06/05,1036,5130,130
2020/06/06,932,4639,258
2020/06/07,659,3788,143
2020/06/08,712,3511,54
2020/06/09,493,3214,47
2020/06/10,999,4853,195
2020/06/11,918,5131,164
2020/06/12,896,4696,76
2020/06/13,849,4648,131
2020/06/14,767,4139,107
2020/06/15,296,3157,27
2020/06/16,395,3378,29
2020/06/17,836,6719,120
2020/06/18,754,5100,110
2020/06/19,717,6275,67
2020/06/20,678,5032,84
2020/06/21,607,4116,71
2020/06/22,256,3967,31
2020/06/23,427,3395,14
2020/06/24,826,5350,94
2020/06/25,751,5215,87
2020/06/26,2437,6578,99
2020/06/27,623,4560,77
2020/06/28,500,4591,40
2020/06/29,265,3070,31
2020/06/30,336,3704,21
2020/07/01,1270,5624,53
2020/07/02,652,4840,97
2020/07/03,678,5077,41
2020/07/04,694,5012,49
2020/07/05,242,4339,32
